Key,Source,Context,Changes,English
farmLifeEggNoodlesStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeEggNoodlesStep2Desc,items,Item,KgNone,Use the Pasta Helper on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeEggsBenedictDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeElkJerkyDesc,items,Item,KgNone,Use the Smoker Mat on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeElkScrapsDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeEnglishMuffinDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeEnglishMuffinStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeEnglishMuffinStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeFajitasPlatterDesc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFajitasPlatterStep1Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeFajitasPlatterStep2Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeFajitasPlatterStep3Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeFeedingTroughDesc,items,Item,KgNone,Use a Workbench. An ingredient used for crafting yummy meals or drinks.
farmLifeFilteredCabernetDesc,items,Item,KgNone,Use the Wine Filter on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeFilteredChardonneDesc,items,Item,KgNone,Use the Wine Filter on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeFilteredMerlotDesc,items,Item,KgNone,Use the Wine Filter on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeFilteredPinkRoseDesc,items,Item,KgNone,Use the Wine Filter on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeFilteredWhiteZinDesc,items,Item,KgNone,Use the Wine Filter on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeFishPelletsDesc,items,Item,KgNone,Use a Chopping Board. Fish Pellets
farmLifeFishPelletsStep1Desc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeFishPelletsStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeFloorCorkerDesc,items,Item,KgNone,Use a Workbench. The Floor Corker is a tool used in the Brew Station for crafting.
farmLifeFloralHopsDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFlorentineOmeletteDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFlorentineOmeletteStep1Desc,items,Item,KgNone,Use a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeFlourTortillasDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFlourTortillasStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeFoodProcessorDesc,items,Item,KgNone,Use a Workbench. The Food Processor is a tool used in the KitchNaid for crafting.
farmLifeFriedEggsDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFriedHamSteakDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFriedOkraDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFriedOkraStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeFriedOkraStep2Desc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeFruitPancakesDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFruitSmoothieDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Yummy drink. Fill you up but wont slow you down.
farmLifeFuegoenelCuloDesc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeFullStackoPancakesDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGarlicDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGarlicGreenBeansDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGarlicGreenBeansStep1Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeGhostPepperDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGingerRootDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGoldenMaltDesc,items,Item,KgNone,Use the Drying Pan on a Brew Cooker. Malt is an essential ingredient for brewing beer and spirits.
farmLifeGrainMillerDesc,items,Item,KgNone,Use a Workbench. The Grain Miller is a tool used in the KitchNaid for crafting.
farmLifeGrandmasOmeletteDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGrandmasOmeletteStep1Desc,items,Item,KgNone,Use a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeGrapeDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGrapeExtractDesc,items,Item,KgNone,A necesssary ingredient for Wine Making.
farmLifeGrapePulpDesc,items,Item,KgNone,A necesssary ingredient for Wine Making.
farmLifeGratedCucumberDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGreenBeanDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGreenBeansBaconStep1Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeGreenBeansBaconStep2Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeGreenBeanswithBaconDesc,items,Item,KgNone,Use a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeGreenBellDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGrilledSalmonSteakDesc,items,Item,KgNone,Use the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGrilledSquashDesc,items,Item,KgNone,Use the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGritsDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGroundAnchoDesc,items,Item,KgNone,Use the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeGroundBeefDesc,items,Item,KgNone,Use the Meat Grinder on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGroundCinnamonDesc,items,Item,KgNone,Use the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeGroundCuminDesc,items,Item,KgNone,Use the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeGroundGingerDesc,items,Item,KgNone,Use the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeGroundHotPepperDesc,items,Item,KgNone,Use the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeGroundOreganoDesc,items,Item,KgNone,Use the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeGroundPorkDesc,items,Item,KgNone,Use the Meat Grinder on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeGroundVealDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGuacandChipsDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGuacamoleDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeGuacamoleStep1Desc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeGuacamoleStep2Desc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeHaliteDesc,items,Item,KgNone,Halite is the mineral name for the substance that everyone knows as salt. This chunk of halite can be scrapped into salt for cooking and crafting.
farmLifeHamDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeHamSteakDesc,items,Item,KgNone,Use the Zhang Cleaver on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeHamburgerDesc,items,Item,KgNone,Use the Spatula on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeHamburgerBunDesc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeHamburgerFixingsDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeHamburgerPattyDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeHashbrownsDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeHollandaiseDesc,items,Item,KgNone,Use a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeHollandaiseStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeHollandaiseStep2Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeIceCreamBowlDesc,items,Item,KgNone,Use the Forgecrucible on a Forge. The Ice Cream Bowl is a tool used in the KitchNaid for crafting.
farmLifeItalianSausageDesc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeItalianSausageStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeItalianSausageStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeJalapenoPepperDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeJarAirlockDesc,items,Item,KgNone,Use a Workbench. The Jar Airlock is a tool used in the Fermentor Bench for crafting.
farmLifeJoelsBreakfastDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeKefirCultureDesc,items,Item,KgNone,Use a Fermentor Bench. An ingredient used for crafting yummy meals or drinks.
farmLifeKetchupDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeKetchupStep1Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeKidneyBeanDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeKojiCultureDesc,items,Item,KgNone,This is basically an enzyme that helps with fermentation.
farmLifeLardDesc,items,Item,KgNone,Pure. Lard. 100%.
farmLifeLardStep1Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeLemonLimeCoolaidDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Yummy drink. Fill you up but wont slow you down.
farmLifeLightMaltDesc,items,Item,KgNone,Use the Drying Pan on a Brew Cooker. Malt is an essential ingredient for brewing beer and spirits.
farmLifeLimeDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeLinguiniDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeLiquidVegDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Yummy drink. Fill you up but wont slow you down.
farmLifeLiveTrapDesc,items,Item,KgNone,Used for finding kitties.
farmLifeMaltingTraysDesc,items,Item,KgNone,Use the Anvil on a Forge. The Malting Trays are a tool used in the Brew Station for crafting.
farmLifeMapleSapDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeMapleSyrupDesc,items,Item,KgNone,Use the Boiler on a Brew Cooker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMapleWoodPlankDesc,items,Item,KgNone,These Maple Wood Planks are used in crafting, can be turned into Wood Ash, or shredded into wood chips for grilling and smoking.
farmLifeMapleWoodchipsDesc,items,Item,KgNone,Use a Tablesaw. An ingredient used for crafting yummy meals or drinks.
farmLifeMarinaraDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMarinatedBBQElkDesc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeMasherDesc,items,Item,KgNone,Use a Workbench. The Masher is a tool used in the Brew Cooker for crafting.
farmLifeMayoDesc,items,Item,KgNone,Use a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifeMayoStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeMayoStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeMeatGrinderDesc,items,Item,KgNone,Use a Workbench. The Meat Grinder is a tool used in the KitchNaid for crafting.
farmLifeMeatHangerDesc,items,Item,KgNone,Use the Forgecrucible on a Forge. The Meat Hanger is a tool used in the Cold Smoker for crafting.
farmLifeMeatballsDesc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMeatballsStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeMerlotDesc,items,Item,KgNone,Use the Floor Corker on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeMesquiteWoodchipsDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeMetalCabinetDoorDesc,items,Item,KgNone,Use a Workbench. An ingredient used for crafting yummy meals or drinks.
farmLifeMexicanBlackBeansDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMexicanBlackBeansStep1Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeMexicanCombo3Desc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMexicanCombo69Desc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMeyerLemonDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMilkDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Yummy drink. Fill you up but wont slow you down.
farmLifeMincedGarlicDesc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeMincedOnionDesc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMintDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeMisoPasteDesc,items,Item,KgNone,Use the Clay Pot on a Fermentor Bench. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMisoPasteStep1Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeMisoPasteStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeMisoSoupDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMixedGreensDesc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeMixedHerbsDesc,items,Item,KgNone,Use the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeMixingBowlDesc,items,Item,KgNone,Use the Anvil on a Forge. The Mixing Bowl is a tool used in the KitchNaid for crafting.
farmLifeMixingCaskDesc,items,Item,KgNone,Use a Workbench. The Mixing Cask is a tool used in the Brew Station for crafting.
farmLifeMojitoDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifeNoriDesc,items,Item,KgNone,Use the Drying Pan on a Brew Cooker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeNoriStep1Desc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeNoriStep2Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeNoriStep3Desc,items,Item,KgNone,Use the Pasta Helper on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeOakBarrelDesc,items,Item,KgNone,Use a Workbench. The Oak Barrel is a tool used in the Brew Station for crafting.
farmLifeOkraDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeOldTimersBreakfastDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeOliveDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeOliveOilDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeOlivePasteDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeOmeletteBatterDesc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifeOnionDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeOrangeDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeOrangeJuiceDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Yummy drink. Fill you up but wont slow you down.
farmLifeOreganoDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePablanoPepperDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePancakeDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePancakeStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifePancettaDesc,items,Item,KgNone,Use the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePancettaLinguiniDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePancettaLinguiniStep1Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifePancettaLinguiniStep2Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifePancettaLinguiniStep3Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeParmesanDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeParmesanCrustedChickenDesc,items,Item,KgNone,Use the Spatula on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePastaHelperDesc,items,Item,KgNone,Use a Workbench. The Pasta Helper is a tool used in the KitchNaid for crafting.
farmLifePearDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePenneDesc,items,Item,KgNone,Use the Pasta Helper on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePennePestoDesc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePennePestoStep1Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifePestoDesc,items,Item,KgNone,Use the Veggie Attachment on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePickledGingerDesc,items,Item,KgNone,Use the Aging Shelves on a Fermentor Bench. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePickledGingerStep1Desc,items,Item,KgNone,Use the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
farmLifePickledGingerStep2Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifePinaColadaDesc,items,Item,KgNone,Use the Ice Cream Bowl on a Kitchnaid. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifePineappleDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePinkRoseDesc,items,Item,KgNone,Use the Floor Corker on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifePintoBeanDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePizzaBladeDesc,items,Item,KgNone,Use the Anvil on a Forge. An ingredient used for crafting yummy meals or drinks.
farmLifePizzaCutterDesc,items,Item,KgNone,Use a Workbench. The Pizza Cutter is a tool used in the Chopping Board for crafting.
farmLifePizzaHandleDesc,items,Item,KgNone,Use a Tablesaw. An ingredient used for crafting yummy meals or drinks.
farmLifePizzaStoneDesc,items,Item,KgNone,Use the Forgecrucible on a Forge. The Pizza Stone is a tool used in the Gas Oven for crafting.
farmLifePlainIceCreamDesc,items,Item,KgNone,Use the Ice Cream Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePlainKefirDesc,items,Item,KgNone,A weird but healthy drink, made from milk.
farmLifePlainYogurtDesc,items,Item,KgNone,Use a Fermentor Bench. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePoachedEggsDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePorkBellyDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePorkChimichangaDesc,items,Item,KgNone,Use the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePorkChimichangaStep1Desc,items,Item,KgNone,Use a Chopping Board. An ingredient used for crafting yummy meals or drinks.
farmLifePorkChimichangaStep2Desc,items,Item,KgNone,Use the Caste Iron Skillet on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifePorkFatDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifePorkRibsDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePortWineDesc,items,Item,KgNone,Use the Floor Corker on a Brew Station. Libations will get you going but please use responsibly. Death can occur from overuse.
farmLifePorterhouseDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePowderedMilkDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePulledChickenDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePulledPorkDesc,items,Item,KgNone,Use a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifePyreXBakewareDesc,items,Item,KgNone,Use the Anddieset on a Forge. The PyreX Bakeware is a tool used in the Gas Oven for crafting.
farmLifeQuesoFrescoDesc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeQuesoFrescoStep1Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeQuesoFrescoStep2Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeQuesoFrescoStep3Desc,items,Item,KgNone,Use the Cooking Pot on a Gas Cooktop. An ingredient used for crafting yummy meals or drinks.
farmLifeRaspberryDesc,items,Item,KgNone,Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeRaspberryIceCreamDesc,items,Item,KgNone,Use the Ice Cream Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.
farmLifeRawBourbonDesc,items,Item,KgNone,Use the Spirits Vat on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeRawBulleeetDesc,items,Item,KgNone,Use the Spirits Vat on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeRawCabernetDesc,items,Item,KgNone,Use the Wine Tank on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeRawChardonneDesc,items,Item,KgNone,Use the Wine Tank on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeRawMerlotDesc,items,Item,KgNone,Use the Wine Tank on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeRawMilkDesc,items,Item,KgNone,An ingredient used for crafting yummy meals or drinks.
farmLifeRawPinkRoseDesc,items,Item,KgNone,Use the Wine Tank on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeRawScotchDesc,items,Item,KgNone,Use the Spirits Vat on a Brew Station. An ingredient used for crafting yummy meals or drinks.
farmLifeRawSugarDesc,items,Item,KgNone,Use the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.
