Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

Aged Bourbon,,item,Food,newKey,Aged Bourbon,,Gereifter Bourbon
Cut Green Beans,,item,Food,newKey,Cut Green Beans,,Brechbohnen
farmLifeCutGreenBeansDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Damascus Blade,,item,Food,newKey,Damascus Blade,,Damstklinge
farmLifeDamascusBladeDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Anvil on a Forge. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nAuf dem Amboss der Schmiede fertigen! Ein Küchenhelfer, der zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Damascus Handle,,item,Food,newKey,Damascus Handle,,Griff für Damastmesser
farmLifeDamascusHandleDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Workbench. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nAn der Werkbank fertigen. Wird für das Damastmesser benötigt."
Damascus Knife,,item,Food,newKey,Damascus Knife,,Damastmesser
farmLifeDamascusKnifeDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Workbench. The Damascus Knife is a tool used in the Chopping Board for crafting.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nAn der Werkbank fertigen. Das Damastmesser wird für das Hackbrett benötigt."
Dark Malt,,item,Food,newKey,Dark Malt,,Dunkles Malz
farmLifeDarkMaltDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Drying Pan on a Brew Cooker. Malt is an essential ingredient for brewing beer and spirits.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt die Trockenpfanne und den Brühkocher. Malz ist ein wesentlicher Bestandteil zum Brauen von Bier und Spirituosen."
Delmontico,,item,Food,newKey,Delmontico,,Steak von Delmonticos
farmLifeDelmonticoDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Denver Omelette,,item,Food,newKey,Denver Omelette,, Omlett Denver
farmLifeDenverOmeletteDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nAb in die Gusseiserne Pfanne und auf den Gasofen damit. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Denver Omelette Step 1,,item,Food,newKey,Denver Omelette Step 1,,Omlett Denver (Schritt 1)
farmLifeDenverOmeletteStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nAb zum Hackbrett. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Diced Carrot,,item,Food,newKey,Diced Carrot,,Gewürfelte Möhren
farmLifeDicedCarrotDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nMit dem Damastmesser auf dem Hackbrett zerkleinern. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Diced Celery,,item,Food,newKey,Diced Celery,,Gewürfelter Staudensellerie
farmLifeDicedCeleryDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nMit dem Damastmesser auf dem Hackbrett zerkleinern. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Diced Cilantro,,item,Food,newKey,Diced Cilantro,,Gewürfelter Koriander
farmLifeDicedCilantroDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst die Raspelscheibe für die Küchenmaschine. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Diced Dill,,item,Food,newKey,Diced Dill,,Gewürfelter Dill
farmLifeDicedDillDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Food Processor on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst die Raspelscheibe für die Küchenmaschine Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Diced Green Peppers,,item,Food,newKey,Diced Green Peppers,,Gewürfelter Grüner Pfeffer
farmLifeDicedGreenPeppersDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHaaaaaaaackeeeeeen! Hackbrett und Damastmesser du brauchst. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Diced Ham,,item,Food,newKey,Diced Ham,,Gewürfelter Schinken
farmLifeDicedHamDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nAuf dem Hackbrett schön klein schneiden. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Diced Mint,,item,Food,newKey,Diced Mint,,Gewürfelte Minze
farmLifeDicedMintDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt Hackbrett und Damastmesser. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Diced Onions,,item,Food,newKey,Diced Onions,,Gewürfelte Zwiebeln
farmLifeDicedOnionsDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt Hackbrett und Damastmesser. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Diced Tomatos,,item,Food,newKey,Diced Tomatos,,Gewürfelte Tomaten
farmLifeDicedTomatosDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt Hackbrett und Damastmesser. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Dill,,item,Food,newKey,Dill,,Dill
farmLifeDillDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Distilled Bourbon,,item,Food,newKey,Distilled Bourbon,,Destillierter Bourbon
farmLifeDistilledBourbonDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHole den Desillierapparat und ab damit auf den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Distilled Bulleeet,,item,Food,newKey,Distilled Bulleeet,,Destillierter Bulleeet
farmLifeDistilledBulleeetDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHole den Desillierapparat und ab damit auf den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Distilled Scotch,,item,Food,newKey,Distilled Scotch,,Destillierter Scotch
farmLifeDistilledScotchDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHole den Desillierapparat und ab damit auf den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Distilled Vodka,,item,Food,newKey,Distilled Vodka,,Destillierter Wodka
farmLifeDistilledVodkaDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHole den Desillierapparat und ab damit auf den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Distilled Whiskey,,item,Food,newKey,Distilled Whiskey,,Destillierter Whiskey
farmLifeDistilledWhiskeyDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHole den Desillierapparat und ab damit auf den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Distilled White Rum,,item,Food,newKey,Distilled White Rum,,Destillierter weißer Rum
farmLifeDistilledWhiteRumDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHole den Desillierapparat und ab damit auf den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Double IPA Mash,,item,Food,newKey,Double IPA Mash,,Doppel-Imperial Maische
farmLifeDoubleIPAMashDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Masher on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nSchön im Stampfer auf dem Brühkocher stampfen. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Double IPA Raw,,item,Food,newKey,Double IPA Raw,,Rohes Doppel-Imperial
farmLifeDoubleIPARawDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Carboy on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst die Ballonflasche und die Braustation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Double IPA Wort,,item,Food,newKey,Double IPA Wort,,Doppel-Imperial Würze
farmLifeDoubleIPAWortDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Boiler on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt den Kocher und den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Dough Hook,,item,Food,newKey,Dough Hook,,Knethaken
farmLifeDoughHookDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Anvil on a Forge. The Dough Hook is a tool used in the KitchNaid for crafting.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nWird auf dem Amboss der Schmiede gefertigt. Der Knethaken ist ein Zubehör für die Küchenmaschine"
Dried Husk,,item,Food,newKey,Dried Husk,,Getrocknete Schalen
farmLifeDriedHuskDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nRequired to make Tamales.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nErforderlich, um Tamales herzustellen."
Drying Pan,,item,Food,newKey,Drying Pan,,Trockenpfanne
farmLifeDryingPanDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Anvil on a Forge. The Drying Pan is a tool used in the Brew Cooker for crafting.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nWird auf dem Amboss in der Schmiede gefertigt. Die Trockenpfanne ist ein Zubehör für den Brühkocher."
Egg Noodle Soup,,item,Food,newKey,Egg Noodle Soup,,Eiernudelsuppe
farmLifeEggNoodleSoupDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nWird im Kochtopf auf dem Gasofen gekocht. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Egg Noodle Soup Step 1,,item,Food,newKey,Egg Noodle Soup Step 1,,Eiernudelsuppe (Schritt 1)
farmLifeEggNoodleSoupStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot with a Gas Oven. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nWird im Kochtopf auf dem Gasofen gekocht. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Egg Noodles,,item,Food,newKey,Egg Noodles,,Eiernudeln
farmLifeEggNoodlesDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Drying Pan on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt die Trockenpfanne und den Brühkocher. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Egg Noodles Step 1,,item,Food,newKey,Egg Noodles Step 1,,Eiernudeln (Schritt 1)
farmLifeEggNoodlesStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Rührschüssel deiner Küchenmaschine. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Egg Noodles Step 2,,item,Food,newKey,Egg Noodles Step 2,,Eiernudeln (Schritt 2)
farmLifeEggNoodlesStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Pasta Helper on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst den Nudelmacher der Küchenmaschine. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Eggs Benedict,,item,Food,newKey,Eggs Benedict,,Die Eier des Benedikt
farmLifeEggsBenedictDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nIn der Gusseiserne Pfanne auf dem Gasofen kochen.\nEin Gericht bestehend aus pochierten Eiern und geschnittenem Schinken auf gerösteten englischen Muffins, bedeckt mit Sauce Hollandaise."
Elk Jerky,,item,Food,newKey,Elk Jerky,,Elchtrockenfleisch
farmLifeElkJerkyDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Smoker Mat on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt die Räuchermatte und den Kalträucherschrank. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Elk Scraps,,item,Food,newKey,Elk Scraps,,Elchfetzen
farmLifeElkScrapsDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
English Muffin,,item,Food,newKey,English Muffin,,Englischer Muffin
farmLifeEnglishMuffinDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nIn der Gusseiserne Pfanne auf dem Gasofen braten. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
English Muffin Step 1,,item,Food,newKey,English Muffin Step 1,,Englischer Muffin (Schritt 1)
farmLifeEnglishMuffinStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nIn der Schüssel der Küchenmaschine schön kneten. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
English Muffin Step 2,,item,Food,newKey,English Muffin Step 2,,Englischer Muffin (Schritt 2)
farmLifeEnglishMuffinStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Mixing Bowl on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nIn der Schüssel der Küchenmaschine schön kneten. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Fajitas Platter,,item,Food,newKey,Fajitas Platter,,Fajitas Platte
farmLifeFajitasPlatterDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Baking Sheet on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenötigt Backblech und Gasofen. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Fajitas Platter Step 1,,item,Food,newKey,Fajitas Platter Step 1,,Fajitas Platte (Stufe 1)
farmLifeFajitasPlatterStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet on a Gas Oven. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nPfanne und Gasofen. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Fajitas Platter Step 2,,item,Food,newKey,Fajitas Platter Step 2,,Fajitas Platte (Stufe 2)
farmLifeFajitasPlatterStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet on a Gas Oven. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nGusseiserne Pfanne und Gasofen. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Fajitas Platter Step 3,,item,Food,newKey,Fajitas Platter Step 3,,Fajitas Platte (Stufe 3)
farmLifeFajitasPlatterStep3Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet on a Gas Oven. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nGusseiserne Pfanne und Gasofen. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Feeding Trough,,item,Food,newKey,Feeding Trough,,Futtertrog
farmLifeFeedingTroughDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nNo current use for this item.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nAktuell hat das Item keinen Nutzen."
Filtered Cabernet,,item,Food,newKey,Filtered Cabernet,,Filtrierter Cabernet
